"gene_id"	"Vegetative_PA"	"Streaming_PA"	"Mound_PA"	"Fruiting_PA"	"length"	"Vegetative_SW"	"Streaming_SW"	"Mound_SW"	"Fruiting_SW"
"34"	"DDB_G0267300"	38.8778690576846	0	3.16460580322005	10.1437501054473	2022	0.356509	1.32958	0.7571405	1.1263955
"35"	"DDB_G0267302"	0	0	0	0	183	0	0	0.3030565	0
"36"	"DDB_G0267304"	1.89193838194673	2.0949787212882	0	7.27665739484412	2502	16.88355	30.2707	13.25495	9.567685
"37"	"DDB_G0267306"	4.80456284056538	6.6723608490724	5.13115338911849	4.07764959152954	3462	0.8908175	1.465315	0.5657905	0.3900115
"38"	"DDB_G0267308"	0	25.9777262992645	0	0	411	2.79911	3.66441	3.150495	1.27406
"39"	"DDB_G0267310"	135.48263419329	99.6190610182673	54.5624501947871	37.208627373096	519	5.26897	9.85629	4.13089	2.580865
"40"	"DDB_G0267314"	17.0090280653924	26.4413075363819	8.6847305631509	0	951	11.6183	45.22565	30.80515	52.85465
"41"	"DDB_G0267316"	0	0	0	0	243	0	1.835525	0.560707	0.9422415
"42"	"DDB_G0267318"	0	0	0	0	147	0	0	0.3118655	0
"43"	"DDB_G0267320"	0	0	3.1821901623127	2.51194729322638	159	0	0	0	0
"44"	"DDB_G0267344"	0.579545799734385	0	0	1.37762153177976	1011	0	0.05009	0	0.03123945
"45"	"DDB_G0267346"	0	0	0.547418311678585	1.75468127852236	621	0	0.0239383	0	0.1270505
"46"	"DDB_G0267348"	0	0	1.91223511118874	0	606	0	0	0	0
"47"	"DDB_G0267350"	0	0	2.03350031575936	0	546	0.02517615	0	0.02978435	0.08089235
"48"	"DDB_G0267370"	12.1855634426154	27.7494573078624	0	0	573	3.452785	0.77157	0.8615865	0.56996
"49"	"DDB_G0267374"	487.812592602767	1198.29079718229	977.091935726002	257.802777896069	819	40.671	176.7535	181.462	34.01165
"50"	"DDB_G0267376"	46.1700920553829	327.450736028896	306.095441949604	200.22595431168	6372	1.929175	14.7296	8.000625	6.1991
"51"	"DDB_G0267378"	2.37402733221706	225.909171162379	2571.65724133822	6378.45025194933	840	0.02397745	0.4873305	177.187	741.254
"52"	"DDB_G0267380"	4118.78740567186	1076.65948722672	1771.65558119271	910.771856971907	1344	126.5065	122.212	64.584	48.68275
"53"	"DDB_G0267382"	9234.60649256686	4683.80585619512	2688.6907920189	1005.95647168903	1338	102.343	495.256	272.029	93.70775
"54"	"DDB_G0267384"	24.8622504954402	134.92306954648	102.682178500294	47.7254583988013	2316	3.35174	11.7334	8.115625	3.715275
"55"	"DDB_G0267386"	2481.26747531898	498.453581932769	793.846190917698	968.88827768028	1497	49.3777	18.41885	24.66325	33.1466
"56"	"DDB_G0267388"	31.6160121421794	29.4538843821108	52.4143796602596	28.9278633970795	1545	3.473715	4.598025	5.465695	3.52231
"57"	"DDB_G0267390"	1981.55413219703	1893.70563161906	704.109430978006	134.751792207547	645	69.2585	336.792	103.25855	14.7298
"58"	"DDB_G0267392"	6.0001373510801	32.0229194841407	36.3537065857182	26.5272953344518	1797	1.21536	18.80225	7.17984	3.52325
"59"	"DDB_G0267394"	417.380983728629	515.65782814754	534.008858960658	737.269771087541	579	61.20325	152.4585	153.857	138.884
"60"	"DDB_G0267396"	1.27661879364363	33.0155732705435	96.1358721035567	25.344736212449	2379	0.9886895	3.87771	4.44994	0.5863375
"61"	"DDB_G0267398"	141.603174780206	639.307807744676	649.91385843993	310.424818210546	1635	0.179157	246.057	54.8699	54.6618
"62"	"DDB_G0267400"	1838.55431695416	3374.53618002055	2343.85589593392	1486.34130530276	2103	154.864	200.6265	191.4005	92.5167
"63"	"DDB_G0267402"	18015.7323063091	15827.9767042321	15757.8476509572	14063.8013348353	420	225.671	887.1885	1879.1	1590.695
"64"	"DDB_G0267404"	10.2055765363244	106.231777391398	93.5866657899954	27.8012071781149	3093	2.210065	3.603005	3.241545	1.570045
"65"	"DDB_G0267406"	126.149254074176	646.755980214658	502.423764129212	254.400387253555	2340	3.89002	15.5552	28.68065	21.73495
"66"	"DDB_G0267408"	440.22963818942	689.447040129636	349.692074930406	101.579318742458	747	30.15225	126.8895	48.6489	9.579255
"67"	"DDB_G0267410"	30.9216374853599	41.9788183915162	46.0439862205717	15.3023226543503	3819	2.435355	5.31406	2.517785	0.9423425
"68"	"DDB_G0267412"	32.4382658564006	39115.5974523152	75496.1433268141	20123.9930826359	507	0.05759	349.0525	6080.205	1433.06
"69"	"DDB_G0267414"	71.2062619925489	54.0697552637035	32.7543157844378	7.73302989271578	2331	1.15018	3.560845	1.782715	0.710034
"70"	"DDB_G0267416"	10.5185407245519	53.4824335577643	64.3651832640727	107.225283929502	2853	1.26988	1.940825	1.945355	8.09867
"71"	"DDB_G0267418"	17693.8805610496	496.849886186863	718.606426351208	17696.9871508674	1296	745.93	518.7605	209.5745	1360.73
"72"	"DDB_G0267420"	4435.12009269815	7039.5004647307	7710.15468403542	10105.5548691732	462	727.5625	871.5225	1266.275	654.973
"73"	"DDB_G0267422"	18.823950471829	36.2658854241095	49.3224678284427	128.293531121659	11547	1.40821	3.92785	1.602365	3.00131
"74"	"DDB_G0267424"	217.182185206367	559.73828538114	610.821011500805	498.617165810052	1296	2.94584	20.1818	40.1245	30.6399
"75"	"DDB_G0267426"	1601.52814674011	2169.16377198197	1835.12286088112	1156.21573218758	1479	3.632335	88.1111	111.309	62.17935
"76"	"DDB_G0267428"	31.7790340093831	158.968491301429	218.647533589258	365.214621107366	1542	2.08487	6.04674	10.047715	14.926
"77"	"DDB_G0267430"	6.96659037966106	46.019495626431	56.9170645890412	20.444070458788	2193	0.9292535	2.457555	2.626535	0.962758
"78"	"DDB_G0267432"	25.1694882938078	21.9293525878739	17.0042101945423	20.736787187354	4428	1.0079595	1.076335	0.62608	1.171465
"79"	"DDB_G0267434"	0	0	0.659260712931353	0.221801730134442	2460	0.00665815	0.02239925	0.00386065	0.00723812
"80"	"DDB_G0267436"	80.8301310673725	165.098634272601	210.836942055805	166.265826576109	3429	18.825	18.3367	12.97555	11.16055
"81"	"DDB_G0267438"	25.271033557066	75.5144694058445	136.473211276602	32.0420960715539	4866	1.479	67.89715	12.5372	6.00764
"82"	"DDB_G0267440"	4.63013436299198	27.8306088243467	62.8118606337751	55.9669795740576	2349	0.308021	1.10426	2.385935	2.218635
"83"	"DDB_G0267442"	53.7120026445382	118.707907402342	150.19124352174	138.983040195256	1143	1.50814	10.62555	9.008915	8.64487
"84"	"DDB_G0267444"	339.571655346151	1073.01533866773	783.221242282631	440.060162984752	1926	6.475195	85.3338	79.203	67.3966
"85"	"DDB_G0267446"	51.386713338472	448.552284992747	479.126774121336	220.678132709228	543	13.8374	118.0935	144.413	33.0316
"86"	"DDB_G0267446"	51.386713338472	448.552284992747	479.126774121336	220.678132709228	498	5.5935e-07	133.101	133.292	17.98785
"87"	"DDB_G0267448"	73.2778530929014	34.9721379928982	53.6733229036437	31.4820030343007	1146	8.539925	10.90942	4.1966	2.869835
"88"	"DDB_G0267450"	462.582472358773	389.1130306546	354.438018636149	358.301418247471	1437	10.2473	45.78875	41.46915	43.64705
"89"	"DDB_G0267452"	1936.623738075	1737.40883121234	1332.66773432293	1140.02541204047	1572	17.58545	96.8671	122.2065	128.2645
"90"	"DDB_G0267454"	40633.3940360405	2435.4341993397	3009.38270277006	1536.96820571218	930	718.9135	304.5545	138.6435	162.98
"91"	"DDB_G0267456"	715.754523868917	10186.92955182	4148.40942758985	235.611575422314	507	446.217	3872.88	3337.075	122.77835
"92"	"DDB_G0267458"	800.993490712159	487.23718510688	297.52742613917	392.085123256258	2038	3.207485	24.1401	14.19065	9.016925
"93"	"DDB_G0267460"	537.035675315815	392.699312087376	269.219432687353	191.730577121665	357	34.42615	261.8745	166.1955	85.5175
"94"	"DDB_G0267462"	15.3959032969173	84.485354351069	123.215607581844	64.9786706014113	2364	2.36588	3.88424	4.62352	4.12031
"95"	"DDB_G0267464"	19.2455951248173	29.311905952805	34.7007607468747	12.5059440763474	4110	0.9149875	1.85308	1.8544	0.87273
"96"	"DDB_G0267466"	0	99.7042372569031	80.1956735308689	16.7093575163703	1272	0.969165	0.891999	3.46455	1.67798
"97"	"DDB_G0267468"	104.374519977926	21.7411746982212	34.6981908303524	23.1514379421491	1935	3.37553	13.09415	2.37926	1.778425
"98"	"DDB_G0267470"	173.373245130534	2052.70831626578	1068.55431703496	256.84076690163	1824	1.566145	329.9005	161.147	23.77615
"99"	"DDB_G0267472"	67.5518780829723	227.826189295497	162.590437761058	74.7024884766643	7848	1.315635	5.42019	3.318075	1.238605
"100"	"DDB_G0267474"	5.41046720760352	8.64166426527526	9.56989767818922	4782.17067739108	1338	0.2286385	0.08057025	0.3081705	72.65365
"101"	"DDB_G0267476"	2.92428964158237	128.104088884055	265.068360861005	8468.32878799404	1281	0.2479805	0.750689	6.28608	425.966
"102"	"DDB_G0267480"	26.9630606589702	93.3992486499885	118.514229216138	33.8250826315397	2940	3.952295	7.935865	5.4229	1.67314
"103"	"DDB_G0267482"	38.8409221674684	44.7019765843776	62.1448567659703	62.9871215866983	240	145.162	128.5795	140.518	80.53525
"104"	"DDB_G0267484"	50.7803590863715	135.847879201874	66.1440612089706	23.369268458813	540	4.847175	21.75885	25.77715	2.555485
"105"	"DDB_G0267486"	1.70090280653924	25.1501860100186	54.4492965247494	26.2397867606782	480	22.65405	7.525705	14.4956	4.12028
"106"	"DDB_G0267488"	5.43253999427066	8.2202487038395	10.8990583116495	2.83586109698355	2040	0.6861665	0.8607925	0.4848415	0.1562165
"107"	"DDB_G0267490"	14.6224208248961	58.3726546926062	29.3374434672182	7.96231556184958	2061	1.36068	25.3318	12.00255	2.725985
"108"	"DDB_G0267492"	332.752688855834	133.412181495975	117.582922561189	55.9018829016539	2163	6.871445	15.37305	5.82391	3.44277
"109"	"DDB_G0267494"	0	8.48951819081864	3.75827771476712	4.32246320379422	603	1.3089545	5.86237	4.03086	1.2457
"110"	"DDB_G0267496"	83.7842687391744	58.5843878450521	48.5079599141006	36.1153753907278	6837	2.94073	3.639825	2.247615	0.9308115
"111"	"DDB_G0267498"	10.6529563750711	106.777580684384	109.7333975485	40.9070714349975	624	1.403435	11.2021	15.2879	3.34242
"112"	"DDB_G0267500"	39.2717705310311	59.1421656338268	250.295130814317	321.484967083697	1059	11.2977	14.8118	17.6737	98.22205
"113"	"DDB_G0267502"	62.2713648068072	145.111509886506	116.575004195247	23.5777489753055	1419	5.28501	36.7046	21.5826	5.29131
"114"	"DDB_G0267504"	61.508393595995	214.608932118029	244.179631214401	153.551990658504	1467	1.13929	12.65485	14.9232	9.119105
"115"	"DDB_G0267506"	0.483954666888132	0.367360372268804	1.08510880173341	114.365873819209	2055	0.01656656	0.03754485	0.0901842	16.91995
"116"	"DDB_G0267508"	444.065202016939	741.393387192708	465.586680608498	162.196496562931	294	257.4535	532.291	512.8885	111.6955
"117"	"DDB_G0267510"	0	3.74426506602485	8.69257685846869	4.16165814386345	669	5.42365	3.34608	3.66695	1.1294785
"118"	"DDB_G0267512"	32.4412867197929	33.3078296893118	24.518303041387	13.5453000193399	1011	4.55234	4.047	2.38039	1.4625
"119"	"DDB_G0267514"	316.633289366736	601.792557611538	720.239618797111	555.426770666219	2751	5.3776	23.7194	24.86505	20.56055
"120"	"DDB_G0267516"	12.4405573708318	62.0268888231475	49.5300819913225	20.5340022780975	4356	0.7745505	2.199215	1.561265	0.5385885
"121"	"DDB_G0267518"	0	4.07723637697977	0	0	168	6.3964	13.05055	9.99452	3.064745
"122"	"DDB_G0267520"	9.69424111142285	2.68365358000861	3.09565949903523	13.4006681715647	252	0.262889	3.26417	2.051575	0.773478
"123"	"DDB_G0267522"	0	7.31341008327742	9.41295203916432	5.44059123245134	1128	0.932858	1.72064	2.32721	0.3351995
"124"	"DDB_G0267524"	1099.05686009201	1015.75639589072	265.177785037386	93.4778808563321	513	64.1409	499.5455	225.3665	50.25135
"125"	"DDB_G0267526"	6.09633125916547	104.00761664805	66.1975535204079	15.890375495373	981	8.26534	43.7711	36.4076	4.67944
"126"	"DDB_G0267528"	764.099625465851	105.252458796578	118.562475640242	281.459515896339	1038	67.5929	58.13845	23.00585	123.578
"127"	"DDB_G0267530"	6672.88936897268	488.876362313755	423.249726956721	293.650582296823	633	245.682	365.788	84.59025	171.983
"128"	"DDB_G0267532"	0.224026344214045	73.1806361419819	115.838817338672	102.231107394667	2658	0.0465205	2.32464	2.133375	2.41294
"129"	"DDB_G0267534"	18.8907419058539	40.5216308924069	46.2369747153424	21.3042791609003	819	6.93531	10.97675	6.617325	2.10735
"130"	"DDB_G0267536"	395.253131387899	219.826200585073	105.628327731866	96.4940120748122	1146	10.65685	14.46685	12.6854	10.28426
"131"	"DDB_G0267538"	193.492251403094	411.577087836595	392.140266063386	215.900543425331	1824	7.896215	25.0275	21.7895	15.7093
"132"	"DDB_G0267540"	36.0040880826054	120.1029053844	141.076002188196	75.102810481692	2442	2.249005	9.892055	7.493865	4.13415
"133"	"DDB_G0267542"	0	0	1.82038059449307	0	228	0.875825	3.0174	0.639146	0.2018125
"134"	"DDB_G0267544"	0.372619227150464	75.4969134372074	87.1646770858395	69.1404174432865	1923	0.10337045	1.725075	3.823615	9.15343
"135"	"DDB_G0267546"	27.3922549008982	64.0194642270963	116.10007250155	322.290149904166	1014	1.118335	1.90787	4.088675	21.9308
"136"	"DDB_G0267548"	27.9748960304604	24.3316612806577	11.9572299386713	10.2432135242952	3558	1.361465	8.83674	2.80252	1.262945
"137"	"DDB_G0267550"	0.581090236795685	47.8976964529266	102.667130049036	74.0487617531404	1404	0.0062784	0.468071	2.55825	2.3598765
"138"	"DDB_G0267552"	901.780664225161	641.394934271895	661.516469824982	455.526581894104	300	65.33645	83.5691	51.77135	36.79755
"139"	"DDB_G0267554"	0	6.38832201189915	9.88369508087901	5.73769373577874	966	0.414779	1.17526	0.435394	0.255271
"140"	"DDB_G0267556"	13.1405144409638	70.8107395164109	83.9116539195035	28.6976594778489	3480	1.239856	2.44058	2.629875	1.180375
"141"	"DDB_G0267558"	0	2.47890624233639	3.69534190603615	0.526229545186485	1011	0.2536775	0.2284925	0.169498	0.04206195
"142"	"DDB_G0267560"	77.5852259405212	68.449845289458	93.8011071661761	49.6191799460995	651	39.9034	22.5289	18.6936	5.223485
"143"	"DDB_G0267562"	2.73822556705629	17.1209626002247	10.6869593508029	16.0898969870474	1704	0.2405135	0.473144	0.1778615	0.329432
"144"	"DDB_G0267564"	10.2421781668841	7.3414585911453	6.01061307495215	2.20360529676402	1563	0.12837285	0.449246	0.216222	0.316459
"145"	"DDB_G0267566"	0.231270185547958	320.077193999162	184.130639365485	9.23472361459051	2535	0.003211225	0.8016235	3.30013	0.2345175
"146"	"DDB_G0267568"	213.038911319094	280.303581172695	209.204146021427	315.322106063539	2055	9.885815	26.4189	16.54715	15.45595
"147"	"DDB_G0267570"	421.270083933236	44.4990512605912	42.0036940209705	45.0763782899121	1785	17.17935	12.32688	4.06924	7.816045
"148"	"DDB_G0267572"	1.54100692332681	8.87092787545073	9.47177460871749	7.55934152478019	1290	1.9121	3.222675	3.131245	1.33967
"149"	"DDB_G0267574"	40.5775116929578	235.174322967564	218.197881998494	73.7389920496213	678	6.49411	33.0074	30.6617	7.275595
"150"	"DDB_G0267576"	1.3091547139342	14.2975901845262	11.7054569842925	6.95842742627725	447	3.720745	13.4461	7.41569	1.3459
"151"	"DDB_G0267578"	1.37910901528688	2.194066840183	2.94931870574763	14.3420867458932	591	0.2509075	1.671785	0.8138335	2.274975
"152"	"DDB_G0267580"	0.97587570556943	2.16121080612196	6.09178368852825	267.575223821018	600	0.284014	0.5035065	1.1655595	14.73695
"153"	"DDB_G0267582"	68.4331185817915	180.270367838841	236.743377890205	111.264931852987	1479	3.725955	20.41215	27.152	6.107545
"154"	"DDB_G0267584"	38.9354943092456	114.927685571173	180.24594470447	192.856165933569	1695	3.664665	10.59602	11.20485	6.88917
"155"	"DDB_G0267586"	8.58747060777488	17.9011959886817	32.2155997982399	42.6366644896766	1389	2.55561	4.062635	2.273785	1.604865
"156"	"DDB_G0267588"	344.017143630237	693.105137756757	490.56447924928	652.37813243264	2160	4.64496	34.77145	41.63755	49.9379
"157"	"DDB_G0267590"	406.785152423781	107.762527935248	130.631306925653	347.677693720275	1386	5.65231	34.1908	31.3416	57.56485
"158"	"DDB_G0267592"	232.361087419838	29.2028556365293	78.0857496475172	43.2808021193329	1596	5.68029	23.2952	9.496905	4.907585
"159"	"DDB_G0267594"	15.5095430591718	36.4902791920052	48.9242139191975	28.6235551946009	351	41.79905	54.1209	48.8245	8.57338
"160"	"DDB_G0267596"	13.312896568865	29.9262536576337	17.2270039834189	8.31615941163795	5139	1.0475185	2.5477	1.41361	0.5534305
"161"	"DDB_G0267598"	4.05765997557666	25.2340382146286	46.852921084277	39.5704813505173	1224	0.7981875	1.492955	2.575005	21.3996
"162"	"DDB_G0267600"	0	0	0	7.31941713866564	1020	0.02955245	0	0.02265925	0.7103435
"163"	"DDB_G0267602"	12.8263324479278	6.59867554779231	6.23557963309812	9.59299492885595	5424	0.326062	3.169415	1.135945	0.5881605
"164"	"DDB_G0267604"	42.9540918188684	15.4442851428679	6.51453396219103	3.91906615858908	1578	1.588615	3.584255	0.9538225	0.4326025
"165"	"DDB_G0267606"	7.57463278651904	31.5821025719884	37.4863151055146	22.2691827996369	585	13.35075	29.0924	21.6726	4.09829
"166"	"DDB_G0267608"	3.83323894198882	6.63242383696931	19.9316193434216	3.24087771929202	672	1.88948	7.35428	4.35888	1.0445135
"167"	"DDB_G0267610"	0	0	0.359224401124162	7.89172098127193	924	0.220884	0	0.0382173	0.4591325
"168"	"DDB_G0267612"	16.4486354709954	45.102948015203	42.880314426553	27.9250556695388	630	0.844022	10.3324	17.04875	9.386915
"169"	"DDB_G0267614"	55.2611852911969	364.51034444448	436.134167514479	83.4289767109565	1080	3.521115	24.50255	50.40925	8.324905
"170"	"DDB_G0267616"	30.2196177303019	10.6343557564252	8.1318185190404	3.90942512269273	2247	1.445385	4.840155	1.582695	0.5144165
"171"	"DDB_G0267618"	0	0	0	0	1326	0	0.02386495	0.00792095	0.0074783
"172"	"DDB_G0267620"	3.00745966304344	39.7107657080046	134.224041799202	829.122616320343	1329	0.1168576	0.142151	0.5177945	27.3773
"173"	"DDB_G0267622"	0	43.949108978027	63.5546982199217	84.343732150453	228	80.26505	227.0175	77.68515	27.76755
"174"	"DDB_G0267624"	59.5327346391018	177.091126676776	252.497340368363	325.292432596244	1515	0.9349575	23.11135	21.1352	22.82295
"175"	"DDB_G0267626"	0	0	0	0	156	6.927975	2.804075	1.308065	0.7291265
"176"	"DDB_G0267628"	4.72984595486681	0	0	0	123	0	0	0	0.2962315
"177"	"DDB_G0267630"	19.9387518928663	29.8364432739476	39.0355149572586	34.706827133629	1416	5.12726	23.2903	9.175145	4.93466
"178"	"DDB_G0267632"	0.68206386170949	2.14541560848105	10.6344602744797	8.46768070933359	1230	0.0227248	0.31401	3.230265	2.353465
"179"	"DDB_G0267634"	0	0	0	0	2901	0	0	0	0.00898255
"180"	"DDB_G0267636"	50.0892890756981	770.661281789056	1026.26374579787	1395.64553714837	2010	0.8038585	15.1202	12.6435	38.47455
"181"	"DDB_G0267638"	65.6101684614219	86.2275755494008	92.3194897321226	237.865335059359	9210	4.128145	8.897885	6.96222	4.7121
"182"	"DDB_G0267640"	42.6367703522994	8.63838261081094	7.75222196346614	221.990481080228	2859	0.7928125	0.9163555	0.286485	5.81786
"183"	"DDB_G0267642"	3.68688605101859	8.83518093702379	6.0415064105648	1.3564208846041	1428	1.911205	2.672535	0.8115785	0.2436595
"184"	"DDB_G0267644"	8.56417198259276	55.3330208864386	48.8792195814943	25.0392870786106	1092	4.236735	9.102975	4.780145	4.344065
"185"	"DDB_G0267646"	0.800138754443805	11.3560048087513	10.6736429545602	11.7957889392125	732	1.87264	23.2132	6.98452	10.198575
"186"	"DDB_G0267648"	18.6659733115068	36.68817045742	43.6176463298607	55.5562689376039	2772	0.791019	1.91139	1.047496	0.827046
"187"	"DDB_G0267650"	12.2685267956383	40.2685004995591	72.5712731381531	119.012090619003	2955	1.252645	18.93905	4.41008	10.6664
"188"	"DDB_G0267652"	4.29700654606938	1791.28398050866	805.62015858355	131.190725018743	189	0	220.214	482.867	32.43885
"189"	"DDB_G0267654"	0.85247309691733	159.165884212276	51.0720193928689	5.67019073509019	2673	0	4.264995	4.07712	0.429441
"190"	"DDB_G0267656"	8.55195574139574	3.80508336079866	7.43708150562201	1.77447468652085	1341	1.2442325	1.18315	0.419173	0.2997505
"191"	"DDB_G0267658"	0	0.222335994079724	1.90904609512782	2.42942706593205	3042	0.1041566	0.2572065	0.119814	0.1035895
"192"	"DDB_G0267660"	0	0	0.330300610762137	0.529368752948405	1011	0.066631	0.0355947	0	0.01036195
"193"	"DDB_G0267662"	2.66517831041529	5.55651218226359	7.1525326452387	1.43227447497424	1005	0.7169005	1.44188	1.106645	0.399998
"194"	"DDB_G0267664"	181.649450691947	804.433069714199	527.198037622047	205.333515540903	1026	17.95895	125.0875	80.78645	21.3481
"195"	"DDB_G0267666"	1.61071857778296	22.1619531702858	121.723681918113	63.5948468027074	3519	1.201965	1.357665	1.323507	1.646675
"196"	"DDB_G0267668"	21.6188563812762	319.661953920249	175.702549232122	42.3771027680972	399	24.4365	100.13875	87.15735	6.22887
"197"	"DDB_G0267670"	1.15315380729322	2.75188165203154	7.40684521511329	10.1331340910835	738	5.824485	5.905835	1.71182	3.155265
"198"	"DDB_G0267672"	1.0604675926407	1.02272248991864	0.753579807560602	1.09396969493869	1995	0.09074565	0.0379584	0.03928325	0.027622695
"199"	"DDB_G0267674"	206.5816953646	194.05472974755	204.249352598641	141.562127410903	2637	3.13547	4.23049	6.076905	10.60039
"200"	"DDB_G0267676"	1.13813627343365	6.84166938541632	12.2906218888113	3.7435069435579	1986	0.0905038	0.346344	0.3763795	0.1151045
"201"	"DDB_G0267678"	0	0	0	0	333	0.6616135	0.391929	0.0984735	0.3748725
"202"	"DDB_G0267680"	0	13.2549121997057	39.2761762325688	55.3680065454796	480	13.9685	16.88875	17.1055	14.8719
"203"	"DDB_G0267682"	16.0133958523773	37.6214840680689	20.6109057467361	10.4413280489557	1545	1.73604	4.09122	2.22143	0.9136565
"204"	"DDB_G0267684"	2.85736811801285	5.23655541567167	9.93927192353481	16.1033594036076	2295	0.04029585	0.3548565	0.1217135	0.17916265
"205"	"DDB_G0267686"	98.3106992162365	366.909403121971	438.490142182162	275.641666978976	6693	2.666735	6.93549	8.0022	3.58779
"206"	"DDB_G0267688"	194.654863642198	50.579301568347	20.6872494513464	17.7467223378117	1593	3.6398	4.55745	5.08974	2.020165
"207"	"DDB_G0267690"	0.451502633009251	52.5764959848457	98.3216664535859	3.0875923843295	3963	1.59008	3.479415	5.362695	0.41037
"208"	"DDB_G0267692"	27.3486092722929	18.8536895079626	31.017072463336	9.05009575689115	3549	0.4901915	1.178865	1.04117	0.3627515
"209"	"DDB_G0267694"	0.343989784300046	0	0.194887544920363	0.624687773853155	1704	0.050939	0.0490623	0.0058649	0.0054472
"210"	"DDB_G0267696"	0	16.4619837890483	18.3182149178062	16.9023127044681	471	0.305816	1.530855	1.43656	1.493865
"211"	"DDB_G0267698"	56.8203861815729	199.879320455577	155.233103959808	158.759890049275	372	8.32934	38.6214	32.06675	21.4317
"212"	"DDB_G0267700"	0	6.65211662435925	6.87545461118911	1.80911705468706	1083	0.00861345	0.725396	0.5586805	0.03818
"213"	"DDB_G0267702"	0	23.2434079259461	43.2179016663084	5.80695480287782	846	0.01187385	1.637975	0.972704	0.239418
"214"	"DDB_G0267704"	350.578765413287	547.273608150759	646.356585526519	419.308179882066	903	8.61634	34.68315	46.71625	33.0641
"215"	"DDB_G0267706"	19.7677910193561	37.5872169308638	106.748910761373	31.4983859059444	756	0.880796	6.45882	6.288495	1.48466
"216"	"DDB_G0267708"	9.02309366728235	17.3563236753577	22.4827331456691	18.7175347177894	585	12.9144	24.01695	18.0709	14.05045
"217"	"DDB_G0267710"	6.90121024844493	203.041689468972	288.854740818554	460.692186749921	1656	1.41917	2.957025	5.73169	135.154
"218"	"DDB_G0267712"	426.298939480133	57.6717115663735	67.4334272204769	38.9675283177467	438	52.98265	33.9686	10.68342	8.23455
"219"	"DDB_G0267714"	70.0814573988505	92.264047540488	79.9382059657327	63.7681451839147	1080	2.19106	7.389105	6.33339	3.363815
